"source","target","weight","type"
"see","build",157,"undirected"
"feel","build",75,"undirected"
"think","build",82,"undirected"
"look","build",118,"undirected"
"mind","build",25,"undirected"
"see","lot",121,"undirected"
"feel","lot",63,"undirected"
"think","lot",142,"undirected"
"look","lot",148,"undirected"
"mind","lot",15,"undirected"
"see","lower",75,"undirected"
"feel","lower",45,"undirected"
"think","lower",40,"undirected"
"look","lower",99,"undirected"
"mind","lower",7,"undirected"
"see","agre",67,"undirected"
"feel","agre",43,"undirected"
"think","agre",95,"undirected"
"look","agre",92,"undirected"
"mind","agre",10,"undirected"
"see","charg",41,"undirected"
"feel","charg",23,"undirected"
"think","charg",29,"undirected"
"look","charg",35,"undirected"
"mind","charg",2,"undirected"
"see","clear",279,"undirected"
"feel","clear",109,"undirected"
"think","clear",192,"undirected"
"look","clear",280,"undirected"
"mind","clear",60,"undirected"
"see","inform",61,"undirected"
"feel","inform",48,"undirected"
"think","inform",55,"undirected"
"look","inform",55,"undirected"
"mind","inform",30,"undirected"
"see","other",143,"undirected"
"feel","other",75,"undirected"
"think","other",110,"undirected"
"look","other",138,"undirected"
"mind","other",29,"undirected"
"see","guess",92,"undirected"
"feel","guess",48,"undirected"
"think","guess",95,"undirected"
"look","guess",110,"undirected"
"mind","guess",15,"undirected"
"see","nod",307,"undirected"
"feel","nod",195,"undirected"
"think","nod",344,"undirected"
"look","nod",705,"undirected"
"mind","nod",65,"undirected"
"see","sight",126,"undirected"
"feel","sight",56,"undirected"
"think","sight",51,"undirected"
"look","sight",100,"undirected"
"mind","sight",24,"undirected"
"see","shot",102,"undirected"
"feel","shot",49,"undirected"
"think","shot",96,"undirected"
"look","shot",164,"undirected"
"mind","shot",18,"undirected"
"see","behind",462,"undirected"
"feel","behind",245,"undirected"
"think","behind",216,"undirected"
"look","behind",434,"undirected"
"mind","behind",56,"undirected"
"see","breath",224,"undirected"
"feel","breath",325,"undirected"
"think","breath",233,"undirected"
"look","breath",291,"undirected"
"mind","breath",86,"undirected"
"see","destruct",12,"undirected"
"feel","destruct",6,"undirected"
"think","destruct",4,"undirected"
"look","destruct",6,"undirected"
"mind","destruct",2,"undirected"
"see","halt",21,"undirected"
"feel","halt",15,"undirected"
"think","halt",8,"undirected"
"look","halt",15,"undirected"
"mind","halt",6,"undirected"
"see","right",472,"undirected"
"feel","right",401,"undirected"
"think","right",518,"undirected"
"look","right",588,"undirected"
"mind","right",79,"undirected"
"see","scope",19,"undirected"
"feel","scope",5,"undirected"
"think","scope",11,"undirected"
"look","scope",11,"undirected"
"mind","scope",3,"undirected"
"see","dodg",9,"undirected"
"feel","dodg",5,"undirected"
"think","dodg",4,"undirected"
"look","dodg",10,"undirected"
"mind","dodg",1,"undirected"
"see","rear",31,"undirected"
"feel","rear",10,"undirected"
"think","rear",9,"undirected"
"look","rear",28,"undirected"
"mind","rear",1,"undirected"
"see","move",464,"undirected"
"feel","move",287,"undirected"
"think","move",256,"undirected"
"look","move",366,"undirected"
"mind","move",73,"undirected"
"see","horizon",31,"undirected"
"feel","horizon",11,"undirected"
"think","horizon",9,"undirected"
"look","horizon",27,"undirected"
"mind","horizon",4,"undirected"
"see","use",265,"undirected"
"feel","use",161,"undirected"
"think","use",260,"undirected"
"look","use",282,"undirected"
"mind","use",62,"undirected"
"see","back",1524,"undirected"
"feel","back",1031,"undirected"
"think","back",1257,"undirected"
"look","back",2437,"undirected"
"mind","back",356,"undirected"
"see","surveil",3,"undirected"
"feel","surveil",3,"undirected"
"think","surveil",4,"undirected"
"look","surveil",7,"undirected"
"mind","surveil",1,"undirected"
"see","attempt",49,"undirected"
"feel","attempt",24,"undirected"
"think","attempt",54,"undirected"
"look","attempt",36,"undirected"
"mind","attempt",7,"undirected"
"see","enough",330,"undirected"
"feel","enough",182,"undirected"
"think","enough",252,"undirected"
"look","enough",231,"undirected"
"mind","enough",43,"undirected"
"see","obvious",56,"undirected"
"feel","obvious",42,"undirected"
"think","obvious",58,"undirected"
"look","obvious",81,"undirected"
"mind","obvious",11,"undirected"
"see","deep",120,"undirected"
"feel","deep",155,"undirected"
"think","deep",126,"undirected"
"look","deep",139,"undirected"
"mind","deep",43,"undirected"
"see","led",73,"undirected"
"feel","led",36,"undirected"
"think","led",64,"undirected"
"look","led",83,"undirected"
"mind","led",8,"undirected"
"see","none",56,"undirected"
"feel","none",37,"undirected"
"think","none",49,"undirected"
"look","none",52,"undirected"
"mind","none",8,"undirected"
"see","realiz",294,"undirected"
"feel","realiz",229,"undirected"
"think","realiz",292,"undirected"
"look","realiz",333,"undirected"
"mind","realiz",83,"undirected"
"see","tri",596,"undirected"
"feel","tri",522,"undirected"
"think","tri",726,"undirected"
"look","tri",763,"undirected"
"mind","tri",185,"undirected"
"see","keep",153,"undirected"
"feel","keep",145,"undirected"
"think","keep",210,"undirected"
"look","keep",223,"undirected"
"mind","keep",62,"undirected"
"see","million",25,"undirected"
"feel","million",16,"undirected"
