LEMMA	PROB
's	5.4958253887631646e-05
CHAR	0.011816024585840804
a	0.00016398833821309441
abandon	0.0001365092112692786
abdomen	3.7229784891621436e-05
abducted	3.900263179122246e-05
abduction	2.216058624501276e-05
abductor	1.0637081397606125e-05
ability	0.00011789431882346788
able	0.0008199416910654721
about	0.0007171165708886129
absence	8.598307463064951e-05
absent	1.950131589561123e-05
absolve	1.0637081397606125e-05
absorb	4.786686628922756e-05
abuse	5.4958253887631646e-05
academy	1.3296351747007656e-05
accelerate	3.988905524102297e-05
accelerator	1.595562209640919e-05
accent	9.218803877925308e-05
accept	0.0002544035300927465
acceptance	1.595562209640919e-05
access	6.0276794586434705e-05
accident	4.963971318882858e-05
accompany	0.00012055358917286941
accomplice	2.481985659441429e-05
accomplish	2.8365550393616334e-05
accomplishment	1.1523504847406634e-05
accord	1.595562209640919e-05
accost	1.1523504847406634e-05
account	0.00015866979751429135
accountant	1.3296351747007656e-05
accusation	2.57062800442148e-05
accuse	0.00018614892445810717
accustom	2.127416279521225e-05
ache	4.698044283942705e-05
achieve	2.127416279521225e-05
achievement	1.0637081397606125e-05
acknowledge	0.00014803271611668525
acquaint	2.038773934541174e-05
acquaintance	2.481985659441429e-05
acquire	2.9251973843416845e-05
act	0.00036786573166721183
action	0.00010105227327725818
activate	9.750657947805614e-06
active	1.595562209640919e-05
activity	3.279766764261888e-05
actor	1.4182775196808167e-05
actress	1.5069198646608676e-05
actual	1.0637081397606125e-05
ad	9.750657947805614e-06
adamant	1.7728468996010207e-05
adapt	1.1523504847406634e-05
add	0.0010477525176642033
addict	2.304700969481327e-05
addiction	1.3296351747007656e-05
address	0.00038559420066322205
adjust	0.0001382820581688796
admire	0.0001382820581688796
admission	2.481985659441429e-05
admit	0.00043877960765125265
admonish	1.950131589561123e-05
adopt	6.648175873503827e-05
adore	6.293606493583624e-05
adrenaline	1.6842045546209696e-05
adult	2.393343314461378e-05
advance	4.963971318882858e-05
advantage	6.470891183543727e-05
adventure	1.3296351747007656e-05
adversary	1.3296351747007656e-05
advice	7.534599323304338e-05
advise	0.00012055358917286941
affair	0.00010459796707646023
affect	5.14125600884296e-05
affection	3.900263179122246e-05
afford	0.00012321285952227094
afraid	0.0003235445591771863
after	1.5069198646608676e-05
afternoon	4.432117249002552e-05
aftershave	2.304700969481327e-05
again	8.686949808045002e-05
age	0.00037052500201661335
agency	1.2409928297207145e-05
agenda	2.127416279521225e-05
agent	0.00013030424712067503
agitate	2.304700969481327e-05
agitation	1.4182775196808167e-05
agree	0.0007791662123746487
agreement	7.268672288364185e-05
aid	2.57062800442148e-05
aim	0.00015512410371508933
air	9.307446222905359e-05
aisle	1.5069198646608676e-05
alarm	5.673110078723267e-05
album	1.6842045546209696e-05
alcohol	1.0637081397606125e-05
